departamento,provincia,distrito,ubigeo,pct_nulos,votos_nulos,votos_emitidos,lider,votos_lider
LA LIBERTAD,SÁNCHEZ CARRIÓN,SANAGORÁN,120306,17.01,1182,6949,ROBERTO HELBERT SANCHEZ PALOMINO,2137
ÁNCASH,HUAYLAS,SANTO TORIBIO,020710,16.08,105,653,KEIKO SOFIA FUJIMORI HIGUCHI,116
SAN MARTÍN,LAMAS,SHANAO,210311,15.76,328,2081,KEIKO SOFIA FUJIMORI HIGUCHI,439
LA LIBERTAD,GRAN CHIMÚ,SAYAPULLO,121104,15.51,491,3165,KEIKO SOFIA FUJIMORI HIGUCHI,616
LA LIBERTAD,BOLÍVAR,BAMBAMARCA,120202,14.97,175,1169,ROBERTO HELBERT SANCHEZ PALOMINO,239
SAN MARTÍN,LAMAS,SAN ROQUE DE CUMBAZA,210316,14.85,182,1226,ROBERTO HELBERT SANCHEZ PALOMINO,195
ÁNCASH,PALLASCA,BOLOGNESI,021002,14.83,90,607,ROBERTO HELBERT SANCHEZ PALOMINO,90
AMÉRICA,CHILE,IQUIQUE,921005,14.43,575,3985,KEIKO SOFIA FUJIMORI HIGUCHI,551
LA LIBERTAD,OTUZCO,HUARANCHAL,120404,14.12,331,2344,KEIKO SOFIA FUJIMORI HIGUCHI,597
ÁNCASH,PALLASCA,HUACASCHUQUE,021004,13.97,38,272,ROBERTO HELBERT SANCHEZ PALOMINO,70
AMAZONAS,RODRÍGUEZ DE MENDOZA,MILPUCC,010507,13.74,50,364,KEIKO SOFIA FUJIMORI HIGUCHI,67
AMÉRICA,ECUADOR,AZUAY,921110,13.66,65,476,KEIKO SOFIA FUJIMORI HIGUCHI,50
LA LIBERTAD,BOLÍVAR,CONDORMARCA,120203,13.65,92,674,ROBERTO HELBERT SANCHEZ PALOMINO,199
AMAZONAS,BONGARÁ,JUMBILLA,010301,13.59,75,552,ROBERTO HELBERT SANCHEZ PALOMINO,84
AMÉRICA,ECUADOR,MACHALA,921104,13.36,37,277,KEIKO SOFIA FUJIMORI HIGUCHI,43
AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,010418,13.33,42,315,KEIKO SOFIA FUJIMORI HIGUCHI,59
LA LIBERTAD,OTUZCO,USQUIL,120411,13.15,1520,11557,ROBERTO HELBERT SANCHEZ PALOMINO,2315
ÁNCASH,SIHUAS,QUICHES,021405,12.67,100,789,ROBERTO HELBERT SANCHEZ PALOMINO,181
SAN MARTÍN,EL DORADO,AGUA BLANCA,211002,12.45,214,1719,KEIKO SOFIA FUJIMORI HIGUCHI,317
ÁNCASH,HUAYLAS,SANTA CRUZ,020708,12.32,402,3262,KEIKO SOFIA FUJIMORI HIGUCHI,614
