Running fetch_all.py...
Fetching 2102 districts...
[1/2102] 010202 OK
[2/2102] 010205 OK
[3/2102] 010203 OK
[4/2102] 010204 OK
[5/2102] 010206 OK
[6/2102] 010201 OK
[7/2102] 010304 OK
[8/2102] 010305 OK
[9/2102] 010302 OK
[10/2102] 010303 OK
[11/2102] 010306 OK
[12/2102] 010312 OK
[13/2102] 010301 OK
[14/2102] 010307 OK
[15/2102] 010308 OK
[16/2102] 010309 OK
[17/2102] 010310 OK
[18/2102] 010311 OK
[19/2102] 010102 OK
[20/2102] 010103 OK
[21/2102] 010101 OK
[22/2102] 010104 OK
[23/2102] 010105 OK
[24/2102] 010106 OK
[25/2102] 010107 OK
[26/2102] 010108 OK
[27/2102] 010109 OK
[28/2102] 010110 OK
[29/2102] 010111 OK
[30/2102] 010112 OK
[31/2102] 010113 OK
[32/2102] 010114 OK
[33/2102] 010115 OK
[34/2102] 010116 OK
[35/2102] 010117 OK
[36/2102] 010118 OK
[37/2102] 010119 OK
[38/2102] 010120 OK
[39/2102] 010121 OK
[40/2102] 010603 OK
[41/2102] 010601 OK
[42/2102] 010602 OK
[43/2102] 010402 OK
[44/2102] 010403 OK
[45/2102] 010404 OK
[46/2102] 010405 OK
[47/2102] 010406 OK
[48/2102] 010401 OK
[49/2102] 010407 OK
[50/2102] 010408 OK
[51/2102] 010409 OK
[52/2102] 010410 OK
[53/2102] 010411 OK
[54/2102] 010412 OK
[55/2102] 010413 OK
[56/2102] 010414 OK
[57/2102] 010423 OK
[58/2102] 010415 OK
[59/2102] 010416 OK
[60/2102] 010417 OK
[61/2102] 010418 OK
[62/2102] 010419 OK
[63/2102] 010420 OK
[64/2102] 010421 OK
[65/2102] 010422 OK
[66/2102] 010503 OK
[67/2102] 010502 OK
[68/2102] 010504 OK
[69/2102] 010505 OK
[70/2102] 010506 OK
[71/2102] 010508 OK
[72/2102] 010507 OK
[73/2102] 010509 OK
[74/2102] 010501 OK
[75/2102] 010510 OK
[76/2102] 010511 OK
[77/2102] 010512 OK
[78/2102] 010701 OK
[79/2102] 010702 OK
[80/2102] 010703 OK
[81/2102] 010704 OK
[82/2102] 010705 OK
[83/2102] 010706 OK
[84/2102] 010707 OK
[85/2102] 020201 OK
[86/2102] 020203 OK
[87/2102] 020205 OK
[88/2102] 020206 OK
[89/2102] 020208 OK
[90/2102] 021602 OK
[91/2102] 021603 OK
[92/2102] 021604 OK
[93/2102] 021601 OK
[94/2102] 021605 OK
[95/2102] 021606 OK
[96/2102] 021802 OK
[97/2102] 021801 OK
[98/2102] 020302 OK
[99/2102] 020321 OK
[100/2102] 020304 OK
[101/2102] 020305 OK
[102/2102] 020322 OK
[103/2102] 020301 OK
[104/2102] 020323 OK
[105/2102] 020325 OK
[106/2102] 020311 OK
[107/2102] 020310 OK
[108/2102] 020324 OK
[109/2102] 020313 OK
[110/2102] 020315 OK
[111/2102] 020317 OK
[112/2102] 020320 OK
[113/2102] 020402 OK
[114/2102] 020403 OK
[115/2102] 020404 OK
[116/2102] 020405 OK
[117/2102] 020401 OK
[118/2102] 020406 OK
[119/2102] 020407 OK
[120/2102] 020408 OK
[121/2102] 020409 OK
[122/2102] 020410 OK
[123/2102] 020411 OK
[124/2102] 021701 OK
[125/2102] 021703 OK
[126/2102] 021702 OK
[127/2102] 020502 OK
[128/2102] 020501 OK
[129/2102] 020503 OK
[130/2102] 020505 OK
[131/2102] 020602 OK
[132/2102] 020603 OK
[133/2102] 020601 OK
[134/2102] 020604 OK
[135/2102] 020605 OK
[136/2102] 020606 OK
[137/2102] 020607 OK
[138/2102] 020103 OK
[139/2102] 020104 OK
[140/2102] 020105 OK
[141/2102] 020101 OK
[142/2102] 020102 OK
[143/2102] 020106 OK
[144/2102] 020107 OK
[145/2102] 020108 OK
[146/2102] 020109 OK
[147/2102] 020110 OK
[148/2102] 020111 OK
[149/2102] 020112 OK
[150/2102] 020816 OK
[151/2102] 020802 OK
[152/2102] 020803 OK
[153/2102] 020804 OK
[154/2102] 020806 OK
[155/2102] 020805 OK
[156/2102] 020807 OK
[157/2102] 020801 OK
[158/2102] 020808 OK
[159/2102] 020809 OK
[160/2102] 020810 OK
[161/2102] 020811 OK
[162/2102] 020812 OK
